epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5498,1.83158,4.55594,1.48607,0.00468,0.15793,0.07753,0.0495,1.36788,4.21182,1.28245,0.00013566,0.00013566,0.00013566
2,20.8683,1.48057,3.19522,1.275,0.01925,0.48616,0.22508,0.1473,1.36202,3.77249,1.23615,0.000277082,0.000277082,0.000277082
3,28.5181,1.31068,2.14,1.16987,0.92665,0.19035,0.41113,0.27919,1.28692,3.24492,1.16053,0.00041709,0.00041709,0.00041709
4,35.4422,1.28894,1.68607,1.12972,0.95741,0.16514,0.51732,0.31605,1.25082,2.79498,1.10694,0.000555684,0.000555684,0.000555684
5,42.392,1.17611,1.50633,1.08779,0.59376,0.31952,0.49013,0.33727,1.22289,2.37047,1.12593,0.000692864,0.000692864,0.000692864
6,49.2787,1.20354,1.42598,1.09117,0.66573,0.57335,0.59512,0.39843,1.18042,1.78894,1.10932,0.000696328,0.000696328,0.000696328
7,56.5556,1.18269,1.34279,1.08686,0.58917,0.55195,0.61361,0.40292,1.19537,1.36636,1.09401,0.000692794,0.000692794,0.000692794
8,63.4186,1.16519,1.29185,1.08544,0.57657,0.5661,0.55615,0.3834,1.18724,1.22524,1.09451,0.00068926,0.00068926,0.00068926
9,70.3325,1.16112,1.25372,1.06321,0.62362,0.63298,0.62195,0.42496,1.16323,1.11542,1.08763,0.000685726,0.000685726,0.000685726
10,77.2406,1.10955,1.20956,1.0497,0.77992,0.59433,0.66664,0.46432,1.12369,1.05311,1.06097,0.000682191,0.000682191,0.000682191
11,84.0211,1.08548,1.18744,1.06582,0.72834,0.5847,0.65653,0.45742,1.18181,1.24868,1.09838,0.000678657,0.000678657,0.000678657
12,91.3376,1.02256,1.07629,1.01868,0.78559,0.63639,0.70007,0.48372,1.16734,1.08933,1.08831,0.000675123,0.000675123,0.000675123
13,98.2698,1.04112,1.0677,1.02722,0.73094,0.66421,0.72541,0.48784,1.15795,1.09067,1.08163,0.000671588,0.000671588,0.000671588
14,105.086,1.04709,1.12858,1.03011,0.77966,0.74817,0.79932,0.57616,1.04961,0.91564,1.01528,0.000668054,0.000668054,0.000668054
15,111.901,1.02826,1.03217,1.0282,0.77292,0.69279,0.77668,0.55426,1.05481,0.93482,1.02681,0.00066452,0.00066452,0.00066452
16,118.649,1.04084,1.09605,1.03872,0.78007,0.73358,0.78087,0.56705,1.06092,0.91842,1.04011,0.000660986,0.000660986,0.000660986
17,125.772,0.99525,0.96245,0.99686,0.71419,0.75754,0.77432,0.54345,1.0843,0.95888,1.03398,0.000657451,0.000657451,0.000657451
18,132.609,0.98497,0.96145,1.00107,0.8266,0.66116,0.77818,0.558,1.0787,0.89614,1.04237,0.000653917,0.000653917,0.000653917
19,139.462,0.97846,0.9684,1.00537,0.7664,0.68682,0.74979,0.51644,1.11939,0.87727,1.05175,0.000650383,0.000650383,0.000650383
20,146.353,1.0008,0.95307,1.01122,0.73707,0.76323,0.75235,0.55704,1.06019,0.93295,1.04193,0.000646848,0.000646848,0.000646848
