epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4939,1.76709,3.82296,1.50672,0.67838,0.32831,0.31947,0.20699,1.26888,2.57803,1.27569,0.00013566,0.00013566,0.00013566
2,24.3062,1.25956,1.63788,1.18629,0.66665,0.42622,0.44848,0.27576,1.24604,1.57701,1.22321,0.000277082,0.000277082,0.000277082
3,32.7901,1.15329,1.20565,1.11757,0.70485,0.40903,0.47323,0.33026,1.15284,1.51949,1.18579,0.00041709,0.00041709,0.00041709
4,40.9447,1.10293,1.02081,1.08462,0.61417,0.55092,0.55205,0.37651,1.17156,1.32186,1.17493,0.000555684,0.000555684,0.000555684
5,49.1483,1.0863,0.97044,1.08777,0.61497,0.53856,0.56734,0.40452,1.16416,1.1961,1.16997,0.000692864,0.000692864,0.000692864
6,57.3715,1.1181,0.99674,1.09959,0.71063,0.66452,0.70315,0.4637,1.14077,1.09743,1.16826,0.000696328,0.000696328,0.000696328
7,65.5806,1.14068,0.95563,1.09969,0.68185,0.68706,0.70745,0.46703,1.14005,1.02359,1.16818,0.000692794,0.000692794,0.000692794
8,74.0364,1.08081,0.92755,1.10108,0.73778,0.79711,0.77388,0.53545,1.11455,0.89478,1.14026,0.00068926,0.00068926,0.00068926
9,82.2381,1.04354,0.87075,1.06668,0.73221,0.75152,0.77261,0.54504,1.08763,0.90746,1.14786,0.000685726,0.000685726,0.000685726
10,90.4671,1.00681,0.87652,1.06405,0.75042,0.76106,0.79926,0.56093,1.07625,0.92313,1.14978,0.000682191,0.000682191,0.000682191
11,98.6911,1.00283,0.8716,1.08234,0.73747,0.71334,0.73132,0.53861,1.06204,0.92241,1.11551,0.000678657,0.000678657,0.000678657
12,107.177,0.93424,0.78415,1.03205,0.79476,0.78055,0.81738,0.56552,1.12819,0.8816,1.15411,0.000675123,0.000675123,0.000675123
13,115.618,0.98898,0.81959,1.06012,0.77757,0.76607,0.82375,0.56901,1.07055,0.90089,1.13458,0.000671588,0.000671588,0.000671588
14,124.023,0.99055,0.88808,1.05593,0.78979,0.72011,0.75936,0.53277,1.06332,0.81534,1.10231,0.000668054,0.000668054,0.000668054
15,132.305,0.96923,0.79386,1.04969,0.74715,0.75003,0.78594,0.55086,1.06626,0.85187,1.11551,0.00066452,0.00066452,0.00066452
16,140.934,0.98751,0.86687,1.07302,0.70139,0.81386,0.80702,0.58274,1.06026,0.82767,1.14465,0.000660986,0.000660986,0.000660986
17,149.447,0.94396,0.77248,1.0224,0.78784,0.75502,0.78772,0.57653,1.04668,0.80051,1.1229,0.000657451,0.000657451,0.000657451
18,157.91,0.92537,0.75204,1.02241,0.81956,0.7479,0.8118,0.55586,1.09093,0.79718,1.14086,0.000653917,0.000653917,0.000653917
19,166.44,0.92604,0.77497,1.02648,0.79514,0.8117,0.82434,0.61063,1.04893,0.81138,1.1347,0.000650383,0.000650383,0.000650383
20,175.44,0.95753,0.73004,1.03114,0.83123,0.79569,0.84246,0.61759,1.03875,0.77273,1.12337,0.000646848,0.000646848,0.000646848
21,184.073,0.9411,0.832,1.06038,0.7964,0.79123,0.82613,0.59788,1.06857,0.77669,1.13764,0.000643314,0.000643314,0.000643314
22,192.451,0.92627,0.71471,1.01494,0.77127,0.80572,0.83378,0.59308,1.03686,0.76808,1.1122,0.00063978,0.00063978,0.00063978
23,200.859,0.93181,0.81135,1.06522,0.80419,0.81662,0.82694,0.59677,1.04775,0.75262,1.11194,0.000636245,0.000636245,0.000636245
24,209.293,0.92976,0.83103,1.05508,0.8157,0.79871,0.80847,0.60341,1.01466,0.74014,1.06719,0.000632711,0.000632711,0.000632711
25,217.595,0.89278,0.71643,0.99491,0.82264,0.83284,0.83949,0.61199,1.01018,0.72388,1.08348,0.000629177,0.000629177,0.000629177
26,225.969,0.86804,0.68294,1.01084,0.83851,0.8212,0.83753,0.61409,1.01592,0.75899,1.07922,0.000625642,0.000625642,0.000625642
27,234.604,0.8734,0.65482,0.9972,0.80436,0.78805,0.82998,0.60908,1.02703,0.73159,1.0911,0.000622108,0.000622108,0.000622108
28,242.987,0.87016,0.75862,1.02137,0.82612,0.80228,0.82412,0.59741,1.0216,0.71993,1.09524,0.000618574,0.000618574,0.000618574
29,251.46,0.90013,0.73071,1.02546,0.84406,0.81173,0.83723,0.61388,0.99888,0.78805,1.1,0.00061504,0.00061504,0.00061504
30,259.861,0.89743,0.69096,0.99354,0.86432,0.83017,0.8415,0.60244,0.99251,0.73697,1.08274,0.000611505,0.000611505,0.000611505
31,268.506,0.86513,0.67109,1.00724,0.81033,0.80219,0.82839,0.61365,1.01225,0.7322,1.08567,0.000607971,0.000607971,0.000607971
32,276.862,0.85562,0.69268,1.00447,0.85713,0.80558,0.84755,0.63251,0.99891,0.69471,1.076,0.000604437,0.000604437,0.000604437
33,285.277,0.85847,0.69996,1.0189,0.8254,0.83106,0.85861,0.63291,1.00245,0.73579,1.09823,0.000600902,0.000600902,0.000600902
34,293.713,0.88228,0.77609,1.02142,0.81611,0.82958,0.8553,0.62354,1.02226,0.70917,1.10501,0.000597368,0.000597368,0.000597368
35,302.442,0.85578,0.70449,1.00718,0.8321,0.83527,0.83556,0.62194,0.99536,0.7062,1.08506,0.000593834,0.000593834,0.000593834
36,310.782,0.86473,0.69442,1.01772,0.80033,0.87873,0.84696,0.63036,1.00063,0.68314,1.06907,0.0005903,0.0005903,0.0005903
37,319.187,0.82497,0.6042,0.96903,0.84819,0.80691,0.83061,0.64284,0.97239,0.72097,1.06556,0.000586765,0.000586765,0.000586765
38,327.647,0.85382,0.73093,1.01217,0.87259,0.80585,0.84687,0.64594,0.98327,0.66685,1.07155,0.000583231,0.000583231,0.000583231
39,336.345,0.81935,0.65598,0.98757,0.89069,0.8567,0.87275,0.67078,0.95383,0.68943,1.04163,0.000579697,0.000579697,0.000579697
40,344.764,0.81469,0.66427,0.98089,0.80308,0.79365,0.82703,0.61286,0.98136,0.69079,1.07162,0.000576162,0.000576162,0.000576162
41,353.099,0.83902,0.73255,1.01527,0.82565,0.79199,0.83264,0.63108,0.98829,0.75916,1.07632,0.000572628,0.000572628,0.000572628
42,361.627,0.8154,0.68995,0.98723,0.79354,0.8673,0.85419,0.64594,0.97719,0.6825,1.07516,0.000569094,0.000569094,0.000569094
43,369.964,0.79396,0.64275,0.98222,0.86429,0.81126,0.84146,0.63643,0.96674,0.67223,1.06891,0.000565559,0.000565559,0.000565559
44,378.211,0.75489,0.61815,0.9494,0.82165,0.86196,0.85339,0.64334,0.9634,0.7374,1.06001,0.000562025,0.000562025,0.000562025
45,386.621,0.77913,0.58198,0.95225,0.83827,0.83669,0.83785,0.64179,0.95845,0.6773,1.0522,0.000558491,0.000558491,0.000558491
46,395.271,0.78435,0.63863,0.97599,0.83459,0.81014,0.83534,0.63958,0.96539,0.70116,1.05319,0.000554956,0.000554956,0.000554956
47,403.593,0.81066,0.63729,0.98589,0.87838,0.85475,0.86729,0.6492,0.98596,0.67309,1.071,0.000551422,0.000551422,0.000551422
48,411.951,0.77251,0.57921,0.95311,0.82673,0.84374,0.85285,0.65646,0.93662,0.68449,1.03915,0.000547888,0.000547888,0.000547888
49,420.357,0.77305,0.61838,0.95978,0.84101,0.84449,0.85115,0.64377,0.96193,0.67464,1.06471,0.000544354,0.000544354,0.000544354
50,428.949,0.76541,0.56425,0.95005,0.80403,0.84862,0.83779,0.64882,0.94615,0.66883,1.05183,0.000540819,0.000540819,0.000540819
51,437.275,0.75688,0.60399,0.96058,0.82034,0.84333,0.85667,0.66381,0.9697,0.72221,1.05773,0.000537285,0.000537285,0.000537285
52,445.59,0.80377,0.61194,0.97422,0.82528,0.80941,0.8288,0.64633,0.97015,0.70544,1.05738,0.000533751,0.000533751,0.000533751
53,454.011,0.77058,0.63547,0.97425,0.80379,0.85977,0.85564,0.6431,0.95329,0.70473,1.0512,0.000530216,0.000530216,0.000530216
54,462.617,0.80952,0.66092,1.00241,0.79335,0.85911,0.84952,0.64044,0.95383,0.69701,1.06403,0.000526682,0.000526682,0.000526682
55,471.017,0.7609,0.61741,0.96514,0.84981,0.8646,0.85409,0.63491,0.96956,0.71027,1.07815,0.000523148,0.000523148,0.000523148
56,479.401,0.74467,0.56858,0.94695,0.85879,0.82656,0.86527,0.63511,0.99001,0.69742,1.08155,0.000519613,0.000519613,0.000519613
57,487.753,0.71478,0.56176,0.93654,0.8379,0.83878,0.84534,0.6333,0.95775,0.72708,1.06186,0.000516079,0.000516079,0.000516079
58,496.185,0.75106,0.60913,0.95416,0.82262,0.8566,0.84991,0.64032,0.94081,0.7158,1.06127,0.000512545,0.000512545,0.000512545
59,504.616,0.73759,0.59044,0.96092,0.83897,0.79395,0.85227,0.63784,0.96936,0.72988,1.08136,0.000509011,0.000509011,0.000509011
60,512.973,0.75132,0.58305,0.95823,0.81792,0.84063,0.83468,0.61823,0.98241,0.68377,1.08101,0.000505476,0.000505476,0.000505476
61,521.601,0.76532,0.6065,0.9688,0.86208,0.8567,0.85462,0.63575,0.96409,0.68376,1.0807,0.000501942,0.000501942,0.000501942
62,529.945,0.77053,0.59241,0.95859,0.8382,0.84317,0.84961,0.63591,0.9821,0.72106,1.09264,0.000498408,0.000498408,0.000498408
63,538.258,0.72404,0.55432,0.93875,0.86421,0.7573,0.83036,0.61353,0.99477,0.69876,1.08906,0.000494873,0.000494873,0.000494873
64,546.641,0.71939,0.54876,0.93811,0.89242,0.86186,0.8859,0.65789,0.98517,0.64146,1.07867,0.000491339,0.000491339,0.000491339
65,555.266,0.76273,0.56137,0.96202,0.83894,0.86534,0.85752,0.6415,0.98262,0.672,1.07261,0.000487805,0.000487805,0.000487805
66,563.666,0.76966,0.57682,0.95568,0.88136,0.83581,0.88693,0.67827,0.94951,0.64895,1.05089,0.000484271,0.000484271,0.000484271
67,572.184,0.70955,0.51332,0.93266,0.88493,0.83277,0.84396,0.63958,0.9521,0.69064,1.04752,0.000480736,0.000480736,0.000480736
68,580.475,0.73066,0.51734,0.92522,0.87836,0.79002,0.8599,0.6628,0.96198,0.69514,1.04882,0.000477202,0.000477202,0.000477202
69,589.125,0.71262,0.54082,0.93508,0.83358,0.8522,0.86806,0.66785,0.93083,0.68583,1.0398,0.000473668,0.000473668,0.000473668
70,597.434,0.74013,0.5834,0.96416,0.83181,0.84321,0.86409,0.67754,0.92195,0.65834,1.0311,0.000470133,0.000470133,0.000470133
71,605.765,0.72734,0.55186,0.95748,0.83895,0.83794,0.85307,0.64095,0.9809,0.70287,1.07074,0.000466599,0.000466599,0.000466599
72,614.229,0.73284,0.55261,0.94197,0.86818,0.84563,0.86516,0.65187,0.92255,0.68733,1.03016,0.000463065,0.000463065,0.000463065
73,622.894,0.69272,0.53591,0.93865,0.84793,0.81085,0.86749,0.66792,0.94152,0.65766,1.04697,0.00045953,0.00045953,0.00045953
74,631.28,0.72823,0.53576,0.94568,0.85323,0.83827,0.86018,0.63995,0.97033,0.66502,1.07891,0.000455996,0.000455996,0.000455996
75,639.654,0.70392,0.53639,0.94985,0.845,0.83961,0.8576,0.65097,0.94006,0.67567,1.05749,0.000452462,0.000452462,0.000452462
